BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
PRKCI	1497	1482	1084	1015	1024	1018	1287	705	1593	1242	1104	887
MNDA	0	0	0	0	0	0	0	0	0	0	0	0
PYHIN1	0	0	0	0	0	1	0	0	0	0	0	0
IFI16	533	452	263	122	670	139	365	231	557	351	374	379
AIM2	0	0	0	0	0	0	1	0	1	0	0	0
EFHB	96	107	46	48	51	22	70	36	30	45	36	60
EIF5A2	50	62	57	36	39	24	38	30	65	31	46	50
SLC2A2	9	9	5	7	8	6	7	3	4	9	3	3
RPL22L1	359	455	332	234	189	228	289	126	337	262	244	223
FABP1	4	1	1	1	1	2	0	0	3	0	0	1
PPM1L	109	91	38	64	81	61	70	70	91	67	101	86
ICA1L	171	156	93	97	101	82	142	87	137	153	134	112
CTLA4	0	0	0	0	0	0	0	0	0	0	0	0
ICOS	0	0	0	0	0	0	0	0	0	0	0	0
RYBP	445	541	490	305	302	380	431	219	464	297	325	288
PPP4R2	788	776	586	548	548	517	632	397	874	631	569	625
CD200R1	64	62	34	55	42	30	40	19	43	32	39	29
GTPBP8	121	132	77	56	84	66	100	54	123	76	91	82
NEPRO	574	689	476	352	409	346	462	271	512	425	419	307
SPICE1	2690	2640	1605	1665	1791	1492	1953	1054	2212	1933	1598	1331
CCDC191	562	537	296	279	284	313	399	173	292	305	272	197
CADPS	1	0	0	1	2	0	2	0	0	4	4	0
NKX6-1	0	0	0	0	1	0	0	0	0	0	2	0
CDS1	576	580	385	445	483	457	481	385	742	582	571	477
WDFY3	6181	6527	3903	4205	4536	4526	5280	3054	6409	5422	4769	3820
COX18	300	271	164	199	190	160	231	180	323	221	253	187
PTPN13	1283	1384	640	716	781	863	945	496	1048	1175	899	538
SYNPR	23	32	9	18	24	10	21	16	31	13	18	11
ALB	5	8	5	4	0	0	2	2	0	1	2	0
C3orf49	19	15	13	18	26	13	11	9	28	25	18	12
C4orf36	14	20	11	9	13	12	10	7	16	11	23	7
THOC7	526	578	292	372	431	281	464	274	547	497	474	386
ATXN7	1627	1614	1068	984	1013	970	1095	668	1542	1186	1138	827
PSMD6	1155	1298	818	788	911	819	994	701	1372	899	1128	935
PRICKLE2	207	221	114	115	190	159	193	136	313	118	244	147
ADAMTS9	649	666	599	375	549	928	545	353	1076	543	1195	291
PPM1K	309	280	246	171	309	220	258	221	525	256	351	388
ERICH6	27	40	18	11	14	9	13	6	8	18	16	8
CLRN1	0	0	0	0	0	0	0	0	0	0	1	0
GMPS	3316	3174	1861	2187	2207	1665	2674	1714	3452	2487	2760	2462
TIPARP	499	598	694	251	429	519	387	233	663	430	440	344
CCNL1	1645	1785	1817	1127	1196	1322	1304	691	1697	1180	1113	932
PTX3	0	1	0	0	0	0	0	0	0	0	0	0
HESX1	20	28	11	8	11	10	16	6	17	13	16	11
DCLK3	0	2	0	0	1	0	0	0	0	1	0	1
SLMAP	1576	1497	1062	1011	1304	1146	1398	895	2018	1098	1377	1268
RPL9	385	428	279	230	196	196	293	129	322	240	205	174
SMIM14	440	492	370	345	252	365	393	183	331	293	244	183
RPP14	8	13	16	5	26	18	15	9	14	9	13	10
ABHD6	112	106	147	93	117	122	141	90	227	148	170	104
DNASE1L3	5	1	3	1	12	9	3	3	11	16	14	12
C3orf67	534	492	227	257	509	294	454	272	366	434	280	294
RBM47	2686	2421	1472	1545	1392	1347	1860	1204	2418	1604	1615	1462
APBB2	1674	1761	1606	1023	1070	1179	1229	701	1481	996	1084	720
IL17RE	552	557	286	292	283	230	361	180	344	338	246	204
IL17RC	991	1121	610	630	685	720	804	497	922	736	643	509
CRELD1	981	1075	798	807	727	947	909	380	1036	706	651	491
PRRT3	391	349	220	174	226	242	231	165	244	259	226	154
FANCD2OS	7	9	3	1	9	3	2	5	8	4	10	7
PCOLCE2	8	22	9	5	6	12	11	6	10	6	5	10
U2SURP	3332	3246	2081	2271	2239	1739	2503	1473	3193	2247	2410	2261
MTMR14	2022	1992	1444	1310	1294	1352	1683	872	1747	1351	1359	997
TTC14	1006	1081	860	754	697	748	788	427	843	771	740	620
CXCL3	27	38	34	14	76	74	83	74	208	19	140	119
CXCL5	128	227	196	107	725	577	1211	1074	2002	233	1448	1591
PPBP	0	0	0	0	0	0	0	0	1	0	0	1
PF4	0	4	1	2	2	6	3	4	2	2	4	1
MTHFD2L	219	229	132	125	136	104	174	124	218	131	195	140
CXCL1	32	51	92	25	208	187	150	114	230	136	179	102
RCHY1	176	183	156	132	104	113	134	97	172	135	139	115
PLSCR2	17	20	7	11	16	7	9	5	13	11	21	9
CCDC158	40	31	23	17	11	17	22	5	17	29	13	5
CPA3	0	2	0	0	0	0	0	0	0	0	0	0
GYG1	205	169	91	108	144	92	133	130	253	156	190	157
HPS3	1215	1531	1139	893	1003	1230	1341	649	1602	1001	1022	934
TM4SF18	2	1	0	0	0	0	0	0	0	0	0	0
TOPBP1	5229	4998	2648	3469	3695	2433	4043	2669	5062	3626	3999	3307
RYK	1189	1281	829	786	1030	822	1017	646	1330	1113	1019	787
SNRK	509	581	401	341	414	378	439	336	596	377	441	364
TCF23	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC5G	1	1	1	0	0	0	0	0	0	0	1	0
UCN	5	9	6	4	9	5	11	4	6	6	4	4
ZNF513	1130	1231	795	608	572	484	794	394	641	564	558	466
SLC4A1AP	1549	1572	1028	952	1025	1007	1143	729	1515	1109	1162	996
PLB1	352	304	251	152	167	172	270	91	177	163	163	111
SPDYA	15	21	4	12	10	8	13	7	18	11	8	9
KIAA1143	303	332	219	228	190	184	240	125	268	254	212	177
KIF15	1268	1095	359	776	796	385	923	639	1213	752	917	794
TGM4	1	2	0	0	1	0	0	1	2	1	1	1
WDR43	3690	3892	2454	2377	2376	2042	2587	1840	3751	2668	2689	2409
ZDHHC3	1021	1005	558	604	714	640	753	533	1109	664	896	634
CDCP1	5102	5071	6464	3527	3801	5353	4632	2731	7401	3921	5149	3313
CLEC3B	2	0	0	0	0	0	0	0	0	0	0	0
SLC6A20	380	407	108	264	147	150	234	234	498	77	422	342
LZTFL1	364	418	249	261	201	232	295	130	221	241	160	145
FYCO1	3728	3523	2102	1900	2198	2234	2626	1642	3222	2496	2421	1877
CCR1	2	2	4	0	5	1	2	4	11	3	12	16
RTP3	0	2	2	0	0	0	0	0	0	0	0	0
LRRC2	56	47	21	25	16	3	11	4	9	9	10	8
ELP6	486	459	228	283	322	203	350	251	399	300	368	295
FBXO40	0	0	0	0	0	0	0	0	1	0	0	0
DTX3L	1094	1003	713	679	1112	739	909	869	2310	1088	1384	1546
ZNF148	1365	1424	958	893	852	936	1089	561	1328	1043	1009	779
NMNAT3	182	267	90	104	104	82	135	70	154	122	96	77
SMIM12	291	301	159	149	207	183	204	168	292	221	233	195
ZMYM6	110	111	83	68	61	78	71	42	73	82	57	58
TPRA1	381	368	234	233	270	283	268	185	330	252	290	223
YEATS2	3491	3563	2377	1961	1864	1946	2367	1242	3350	2157	1927	1624
GRIK3	6	7	6	5	4	4	5	2	7	3	1	4
ZC3H12A	568	687	660	324	590	451	514	330	816	356	436	373
MEAF6	321	354	194	212	224	173	242	132	295	231	231	190
SNIP1	580	626	497	402	323	411	423	267	461	374	396	284
DNALI1	610	696	411	438	369	271	514	245	527	368	335	354
POLR2H	653	652	480	442	391	416	514	286	581	446	383	393
KLF15	41	46	58	33	26	24	36	14	34	17	16	15
CFAP100	45	59	18	22	33	24	23	21	26	18	14	23
CAMK2N2	6	8	5	4	14	2	9	8	6	6	6	4
LIPH	1045	1092	686	781	558	683	795	350	868	633	592	546
TMEM41A	407	357	268	286	261	235	263	230	449	282	344	306
RPN1	9118	9140	5210	6020	6016	5341	8292	5022	9388	6623	6908	5835
SENP2	1180	1231	774	818	843	882	853	573	1178	807	996	716
HEYL	23	23	17	11	25	15	14	7	12	15	15	6
IFT122	2044	2042	959	1087	1226	971	1353	861	1612	1610	1222	809
RHO	0	1	0	0	1	0	0	0	0	0	0	0
RFC4	733	678	320	425	569	282	540	432	750	523	618	589
RPL39L	0	1	0	1	0	0	2	2	1	0	1	0
BAP1	2934	3022	2094	1856	1926	1861	2328	1510	2597	1905	2001	1499
TKT	11629	11787	6836	6612	5991	5380	7366	4335	9392	8923	6225	4854
PRKCD	1524	1447	899	765	923	833	1016	575	1039	1066	780	511
RFT1	766	729	513	487	533	439	567	414	681	546	552	498
SFMBT1	897	847	463	542	672	480	626	474	903	663	768	560
GNL3	5626	6442	4147	3957	3176	3600	3999	2107	4939	4785	3021	2729
PBRM1	4094	3797	2397	2579	2897	2521	3102	1973	3928	2955	2952	2506
UVSSA	3324	3404	2367	1873	1955	2111	2363	1357	2594	1797	1936	1473
FAM208A	4160	4191	2420	2769	3212	2681	3329	2052	4414	3209	3314	2943
ARHGEF3	623	531	359	366	501	438	442	312	549	517	499	360
SLBP	1297	1283	688	759	841	643	981	761	1339	920	1172	972
LRPAP1	9595	10039	6243	6007	5484	7363	8220	4445	8829	6575	6822	4954
ZDHHC19	1	0	0	0	1	1	1	0	0	0	1	0
SLC51A	8	18	19	7	10	3	15	12	12	5	9	7
UBXN7	1268	1226	817	768	772	742	921	456	1084	851	756	663
RNF168	1078	1057	700	586	741	553	825	519	1101	775	775	681
PIGX	323	316	165	202	260	219	265	220	360	247	284	275
MELTF	516	489	302	256	315	248	390	214	393	307	305	231
OTOP1	0	0	0	0	2	0	0	0	1	0	1	0
S100P	1682	1861	1461	988	1339	1455	1697	898	2249	1452	1312	1313
ABLIM2	696	700	644	403	423	782	506	288	779	383	685	408
EXO5	167	175	90	104	100	65	109	86	158	86	130	82
CLDN19	1	0	0	4	2	0	1	0	2	4	0	1
C1orf50	89	97	97	63	51	75	69	23	90	72	62	50
ERMAP	174	175	85	91	85	65	94	54	107	124	87	60
ZNF691	268	290	186	185	150	127	172	112	221	198	168	127
AIMP1	1140	1117	654	624	719	605	813	455	1010	785	830	741
SGMS2	515	499	359	304	283	287	351	227	483	287	340	322
METAP1	1349	1362	936	843	790	742	1017	576	1251	961	878	697
DNAJB14	666	669	537	405	520	530	581	352	713	508	574	482
H2AFZ	1952	1911	809	1347	1266	744	1576	1160	2068	1371	1588	1539
EMCN	0	2	0	2	1	2	2	1	1	1	2	1
SLC9B1	9	21	14	9	11	6	8	2	9	14	2	4
SLC9B2	0	0	0	0	0	1	0	0	1	0	0	0
BDH2	396	417	237	239	172	258	295	138	292	250	217	200
PGRMC2	645	710	450	445	438	459	506	269	537	436	400	340
CDC25A	347	279	83	229	290	92	248	296	444	260	415	369
CAMP	6	9	2	3	3	6	4	1	3	3	7	2
ZNF589	757	818	474	561	425	312	459	251	558	444	380	258
FBXW12	1	0	1	1	0	0	2	1	0	0	3	0
PLXNB1	9891	8949	6391	5637	5630	4645	6405	3882	7502	4735	5437	4048
CCDC51	511	484	269	309	318	245	367	247	422	341	356	338
ATRIP	490	510	256	323	350	223	402	267	527	363	427	350
SHISA5	3143	3580	2187	2286	2887	2027	2761	2170	5133	2372	3266	2797
SPRY1	1585	1529	995	942	1298	1044	1255	813	1537	1044	1153	895
BSN	456	476	254	205	516	233	308	241	404	340	339	253
APEH	3508	3489	2030	2117	2505	2085	2763	1847	3438	2493	2874	2170
INTU	373	420	246	228	238	256	292	120	346	277	235	212
RNF123	1970	1907	1286	1217	1345	1281	1475	914	1737	1294	1446	1032
HSPA4L	525	511	290	277	521	325	495	374	755	582	518	575
MFSD8	386	461	320	282	321	286	348	250	494	337	390	336
ABHD18	580	611	418	402	477	439	493	258	605	494	436	420
CAMKV	3	1	1	1	4	0	0	0	4	4	2	3
MON1A	183	158	84	107	168	89	131	100	237	145	179	146
MST1R	3161	2889	1795	1806	2106	1598	2028	1517	3054	1965	2344	1762
RAD54L2	1836	1789	1107	1009	1110	929	1144	909	1726	1050	1272	992
TEX264	707	729	427	413	528	497	630	378	659	544	543	482
GRM2	2	1	0	0	2	0	4	1	1	1	2	1
DUSP7	145	169	86	90	95	92	103	102	175	120	165	134
POC1A	597	497	195	364	395	218	448	294	538	398	438	324
PPM1M	878	693	423	424	436	425	488	236	512	489	378	303
ETNPPL	1	0	1	0	2	6	2	1	0	1	0	0
WDR82	1030	971	581	638	647	526	694	480	997	691	740	636
PITX2	1726	1843	1272	1236	906	1102	1225	707	1608	1004	1250	859
C4orf3	477	590	433	344	342	369	426	180	484	387	352	343
PRSS12	111	88	34	26	65	21	72	32	84	65	52	57
NDST3	11	8	2	3	2	2	1	3	5	5	6	7
HMGB2	2890	2849	919	1755	1659	743	1938	1277	2409	1643	1609	1505
SAP30	264	235	129	164	137	124	211	98	262	181	159	165
SCRG1	9	9	5	5	6	3	3	1	9	5	0	8
HAND2	0	0	0	0	1	0	0	0	0	0	0	0
MAD2L1	498	528	189	320	317	155	410	289	552	324	472	382
ANXA5	4997	5129	3458	3380	3114	3236	4131	2391	5232	2930	4091	3527
TMEM155	0	0	0	0	0	0	0	0	0	1	0	0
ADAD1	0	0	0	0	0	1	0	0	0	0	0	0
MAP9	488	464	346	282	311	285	440	220	425	311	300	252
GUCY1A3	0	0	0	0	0	0	0	1	1	0	0	0
FBXO8	555	643	419	396	396	457	593	221	487	372	391	324
CEP44	685	754	479	548	503	472	570	272	613	570	440	415
HPGD	3036	2995	1401	2029	2476	1647	2438	1583	3080	1874	2562	1955
ASB5	2	2	0	0	0	0	1	0	0	0	0	0
C4orf45	0	5	0	0	0	1	0	2	0	2	0	2
TMEM144	181	251	156	148	133	143	193	100	219	166	182	133
FAM198B	335	396	177	174	173	106	225	175	275	61	309	181
NPY1R	2	1	1	0	2	0	1	2	0	0	0	1
NPY5R	0	0	0	0	0	0	0	0	0	0	0	0
NAA15	2638	2492	1625	1821	1989	1477	2121	1571	3079	2162	2423	2244
IL15	58	71	45	33	52	48	52	37	60	49	51	47
FAM160A1	635	640	483	331	549	616	656	393	890	615	616	497
ARFIP1	1003	1079	729	600	615	651	826	477	1015	707	748	623
ICE1	2392	2428	1632	1547	1655	1566	1988	1245	2375	1779	1886	1479
HHIP	17	15	7	14	7	4	17	5	12	7	10	2
ANAPC10	126	151	107	95	97	85	130	88	152	111	120	109
ABCE1	1266	1325	730	913	982	668	1039	734	1433	1140	1152	1049
OTUD4	2104	1898	1260	1243	1456	1192	1617	1031	2141	1575	1577	1356
LSM6	119	125	75	111	92	51	99	74	134	73	107	99
TMEM184C	623	580	425	440	521	466	566	312	673	471	518	430
PRMT9	374	386	217	218	239	228	290	160	331	261	271	214
ITGA2	6281	6358	5242	4494	5007	4836	5118	3294	7677	2927	5414	4713
MOCS2	449	496	311	309	331	334	403	272	558	356	458	416
SLC45A2	18	5	3	11	0	3	4	3	6	4	4	4
EDIL3	33	27	20	6	18	8	14	21	18	24	23	17
TMEM161B	688	707	612	507	522	612	606	357	698	626	586	490
ELOVL7	91	97	61	65	118	86	144	91	144	93	97	111
NDUFAF2	299	361	194	236	207	188	267	160	383	234	264	236
ZNF474	0	0	0	0	1	0	0	0	1	0	0	1
LMBRD2	2929	3243	1840	2261	2410	2261	2800	1772	3655	2137	3098	2083
RANBP3L	55	41	21	35	37	24	37	14	28	20	24	14
NIPBL	27349	28027	17650	17671	18808	18457	21911	12117	27118	16567	20452	13993
RNF180	21	31	18	10	24	16	16	12	29	12	10	8
ADGRV1	3305	3686	1662	2208	2981	1225	3107	1688	2812	2840	1894	1944
SLC25A46	704	798	481	469	451	519	567	308	641	484	523	396
STARD4	217	212	118	148	131	62	151	101	162	92	123	121
PGGT1B	494	521	386	314	296	297	399	206	460	361	329	307
F2RL2	0	0	0	0	0	0	0	0	0	0	0	0
CCDC112	169	188	99	110	107	63	127	60	141	98	85	91
ANKRD33B	2	0	2	0	2	0	2	3	2	0	6	4
CMBL	3	2	0	0	0	0	0	0	0	0	0	0
C5orf63	140	160	81	106	110	110	147	59	124	119	85	69
PRRC1	1377	1386	1050	865	928	1039	1199	564	1225	892	909	686
F2RL1	545	509	385	428	305	291	419	288	622	321	442	356
AGGF1	1324	1409	842	842	959	815	1134	631	1303	1040	931	875
WDR41	680	773	375	440	485	337	585	324	697	473	497	430
PRDM9	65	35	18	26	13	29	20	18	42	11	34	21
NDUFS4	408	460	305	283	308	267	374	204	422	310	305	296
SCGB3A2	0	0	0	0	0	0	0	1	1	0	2	0
SPINK1	57	123	153	82	103	169	211	32	98	70	53	75
HTR4	1	1	0	2	1	0	0	0	0	0	0	3
ESM1	0	0	0	2	2	0	0	0	0	0	0	0
GRPEL2	219	249	148	108	159	135	168	119	224	182	129	151
CDC20B	14	22	3	11	9	4	11	6	13	7	20	14
ARSK	195	185	125	145	132	171	186	81	173	190	153	116
RHOBTB3	2211	2287	1349	1392	1895	2129	1777	1490	2646	2232	2559	1684
GPX8	92	94	43	52	51	69	75	34	51	47	79	56
TIGD6	242	256	179	115	118	150	176	84	172	157	133	106
SPZ1	5	5	1	0	8	3	6	5	6	0	2	2
SERINC5	1810	1495	1063	975	1110	1361	1257	861	1884	1313	1418	1126
ENPP6	0	0	0	0	0	2	0	0	0	0	0	0
CAGE1	6	4	2	4	4	5	8	1	8	11	3	7
CASP3	618	615	394	383	454	385	528	314	655	429	580	478
PRIMPOL	462	385	210	323	354	251	407	214	440	334	359	326
ERAP1	5810	5898	3818	4137	4264	3945	6226	3306	6462	4489	4586	4165
ERAP2	182	172	110	114	122	97	156	94	222	142	164	135
CMYA5	825	800	448	427	666	852	661	323	512	837	418	287
EGFLAM	489	553	280	304	234	289	350	174	365	210	284	156
CFAP97	1895	1957	1312	1179	1177	1177	1348	806	1672	1371	1279	1017
TMEM174	1	0	0	0	0	0	0	0	0	0	3	0
CARTPT	0	0	1	0	10	4	5	0	2	3	0	1
RICTOR	8588	9938	6535	5560	5745	5751	7590	3414	8263	5111	5648	4396
PAPD4	842	925	631	567	593	589	669	354	855	672	611	544
EBF1	0	0	0	0	0	0	0	0	0	1	1	0
ANKRA2	485	543	365	315	286	352	406	204	403	312	275	233
UBLCP1	392	387	303	293	304	334	320	216	367	272	381	301
FAM170A	0	0	0	0	0	0	0	0	0	0	0	0
UTP15	396	405	235	245	315	268	293	258	427	309	350	358
TLR3	309	288	179	158	205	167	282	170	381	254	269	283
KLKB1	71	74	48	61	68	34	50	18	45	53	50	32
NSA2	1157	1342	809	812	811	723	929	466	1078	875	783	784
GFM2	1019	1120	770	684	881	805	923	560	1232	927	909	769
TERT	33	37	6	13	6	3	18	12	18	14	19	16
SLC6A18	0	0	0	0	0	0	0	0	0	0	0	0
CCDC127	290	289	181	183	176	178	217	137	254	210	195	162
FOXQ1	10	9	24	16	17	44	10	12	35	8	54	26
ADGRF2	29	24	23	32	13	13	18	12	39	12	18	25
ACSL6	2	1	1	1	1	1	3	0	1	3	1	0
IL3	0	0	0	0	0	0	0	0	0	0	0	0
CSF2	0	9	6	5	1	5	2	3	8	1	5	3
SEPT8	1470	1377	675	747	884	630	919	642	1246	935	1015	747
SHROOM1	594	518	263	320	439	362	469	371	593	336	474	349
GDF9	14	15	13	3	6	3	11	5	3	5	10	3
UQCRQ	912	959	629	657	780	586	948	585	1133	728	807	794
LEAP2	27	36	8	8	21	21	15	11	28	19	14	4
GJB7	48	51	32	37	32	32	47	18	55	32	32	21
SLC35A1	113	136	79	97	111	92	131	59	144	125	98	77
GRIK2	360	363	270	179	494	616	377	220	278	479	370	230
MB21D1	237	182	127	139	154	115	142	128	276	163	218	224
FABP7	0	0	0	0	2	0	0	0	0	0	0	0
TLX3	0	0	0	1	0	0	1	0	0	0	0	0
TXLNB	362	364	198	281	227	270	266	123	260	291	184	113
CITED2	1346	1674	1531	668	623	1001	785	313	1104	885	562	343
FAM26D	0	0	0	0	0	0	0	0	0	0	0	0
T	1	0	0	0	1	0	0	2	0	1	2	1
CREBRF	579	655	588	377	382	578	560	184	426	388	265	227
DCBLD1	2149	2366	1208	1514	2253	1770	2032	2096	4168	1573	2973	2278
SFXN1	1261	1277	934	744	871	866	1027	586	1495	1003	1057	809
SAMD3	2	1	2	2	19	2	15	3	4	5	5	2
TMEM200A	12	5	5	0	135	30	36	31	11	49	27	22
IL22RA2	3	2	1	1	5	4	1	3	15	10	12	6
DACT2	444	294	212	261	259	345	259	144	161	165	202	111
PDSS2	484	458	278	248	348	273	290	192	408	336	319	235
C7orf72	0	0	0	0	0	0	0	0	0	0	0	0
STXBP5	12157	12535	6438	8004	7656	7212	8096	5512	11793	8490	9647	7290
HIST1H2AA	3	4	0	2	0	0	0	1	0	0	2	1
IL31RA	1	1	2	0	2	0	1	1	2	0	0	0
ANKRD55	1	1	1	0	8	0	5	0	0	2	3	0
RAET1E	431	355	290	289	418	507	368	283	542	545	500	304
PI16	2	5	4	1	3	1	3	0	0	0	1	3
TBX20	133	104	64	50	79	57	81	46	81	77	49	46
DAGLB	1704	1621	1195	1077	1159	1030	1254	832	1650	1024	1292	963
KIAA0895	733	766	506	420	446	394	620	268	737	561	463	475
STK17A	415	415	352	282	347	314	369	220	477	333	345	354
TRA2A	1979	2124	1310	1288	1600	1210	1521	1064	2394	1506	1639	1251
GALNT10	802	735	475	478	577	533	599	442	825	598	727	465
SAP30L	376	357	230	272	312	267	359	218	422	284	339	274
RPS14	4175	4598	3217	2670	2411	2377	3317	1390	3380	3028	2072	2234
HCN1	0	0	0	0	0	0	0	0	0	0	0	0
MYOZ3	19	13	8	7	4	5	11	10	13	7	5	3
COG5	1423	1460	1012	926	979	1078	1301	718	1407	1106	1045	852
NEUROD6	1	0	0	1	0	0	0	0	0	0	0	0
BMT2	207	230	184	123	149	166	165	70	179	113	111	94
GPR85	0	0	0	0	1	0	1	0	0	1	0	0
SLU7	1484	1572	1069	918	859	956	1157	483	1185	875	780	674
RP9	648	661	402	398	393	373	451	216	594	450	400	399
PTTG1	491	507	178	303	384	166	416	251	466	315	336	368
CAMLG	687	727	604	414	371	459	539	237	541	454	341	309
BMPER	6	21	17	10	3	14	13	7	7	4	17	7
RELL2	49	53	28	23	33	23	37	31	51	28	56	33
KCNK5	93	64	37	45	59	66	53	36	45	134	80	47
KIF6	2	4	1	3	1	1	2	2	3	2	1	1
ZNF12	1404	1629	1179	1018	964	1119	1185	619	1380	1054	956	760
SLC29A4	2008	2015	1114	1443	674	500	1178	371	1003	740	447	412
C7orf62	0	0	0	0	0	0	0	0	0	0	0	0
STEAP1	336	344	215	237	400	258	475	346	756	237	560	605
CDCA7L	5145	4627	1736	2479	3524	1621	3537	1974	2816	3209	2403	2166
SP8	30	47	14	14	69	6	23	42	35	17	20	22
MIOS	1377	1411	890	905	1051	975	1163	725	1467	1081	1292	979
KIAA1324L	1446	1647	925	960	810	714	1106	579	1115	994	839	677
USP49	160	171	128	111	96	104	118	54	160	101	76	79
SYTL3	430	322	316	148	297	398	317	180	280	394	306	181
IQUB	37	46	26	19	18	27	25	6	21	30	19	22
HEY1	3699	3798	2572	2271	2315	3134	2333	1504	3692	2729	2983	1838
ZNF704	1395	1226	641	914	736	533	895	544	945	667	660	501
FABP5	670	646	276	329	563	283	418	360	621	418	655	451
SHH	289	281	156	198	191	111	261	131	251	203	138	159
TAGAP	7	6	0	5	0	4	1	1	2	3	2	0
COL1A2	4074	3128	3336	2138	4649	10951	4246	2547	4433	8532	7193	2315
FNDC1	1	2	0	4	2	2	5	3	0	0	2	2
CHMP4C	771	829	640	487	463	534	678	311	687	579	471	376
SLC13A4	112	106	62	74	98	60	70	32	82	78	52	44
PGAM2	845	762	510	406	541	410	572	323	592	494	432	338
BRI3	328	276	211	192	211	239	228	142	271	171	221	164
LMTK2	2471	2524	1927	1390	1862	1804	2001	1316	2377	1838	1815	1346
SLC35G3	1	1	1	1	0	2	0	1	3	2	0	0
CTSB	20961	21097	13533	14974	12098	15838	19236	10379	21015	11739	15847	12186
SOX17	0	0	0	0	0	0	0	0	0	0	0	0
DLC1	141	214	87	47	187	55	97	74	121	78	49	52
ADCY1	485	397	156	239	430	179	414	274	525	264	429	268
C8orf48	5	3	3	1	5	2	1	1	2	0	0	0
SUN3	1	4	2	1	0	0	0	0	1	1	0	0
C7orf57	5	10	5	1	4	2	2	1	3	2	3	5
HNF4G	413	530	243	287	321	167	415	181	422	282	253	256
PEX2	606	686	462	412	384	394	539	241	523	491	432	401
RAD21	10288	10176	5760	6462	6490	5268	8756	5066	10349	7301	7294	6606
SLC30A8	23	29	18	13	14	12	23	15	18	16	10	11
MED30	367	477	287	268	310	241	300	187	471	284	294	256
TNFRSF11B	9169	9398	8989	6458	6280	6831	10919	4106	9223	4538	6312	5688
SBSPON	10	11	1	2	6	5	10	5	6	1	4	5
PHKG1	311	302	227	184	170	154	154	120	286	200	181	132
EN2	0	0	0	0	1	0	0	0	0	0	2	1
KCNV1	56	28	21	28	26	23	12	20	48	17	56	25
CSMD3	50	52	30	37	34	20	23	14	22	14	42	20
SPIDR	4561	4310	2513	2808	3184	2544	3256	1920	4155	3204	2917	2533
ORC5	411	471	266	291	328	262	337	229	462	325	376	319
DEFA5	1	0	0	0	0	0	0	0	0	0	0	0
DNAAF5	5882	5707	3071	3383	3572	2500	3940	2579	5073	3324	3696	2872
DEFA4	0	0	0	0	0	1	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0	0	0	1	0	0	0
OSGIN2	432	499	382	317	335	373	406	250	438	353	391	366
DEFB1	113	101	72	61	132	188	152	132	223	158	232	180
SUN1	12737	12919	9595	7605	7871	9272	10111	5599	11070	8159	8516	6427
OXR1	2129	2181	1307	1285	1413	1506	1760	1078	2115	1507	1621	1330
TMEM74	4	7	1	3	4	0	6	6	6	4	2	2
GPR146	189	218	135	102	150	114	131	89	166	100	95	93
GPER1	685	647	360	353	352	242	401	231	466	315	316	247
UNCX	0	0	0	0	0	0	0	0	0	1	0	0
TMEM184A	4730	4861	3755	3056	3264	3183	3331	1886	4201	2701	2902	2130
NOS3	224	217	181	126	170	479	115	79	195	317	183	120
SPAG11B	0	0	0	0	0	0	0	0	0	0	0	0
MICALL2	4071	3521	3860	2629	2995	2955	2568	1922	3584	2056	2956	1986
CA3	5	7	2	2	5	3	8	0	4	7	1	3
INTS1	71138	73126	60413	45301	44431	43601	53164	29337	66185	38742	44572	31905
CDK5	583	595	322	432	447	348	519	333	615	394	552	493
SLC4A2	8284	8880	5396	5365	6310	4893	6244	4562	8542	5728	6537	5202
SLC7A13	0	0	0	0	0	0	0	0	0	0	0	0
FASTK	3245	3261	1694	2085	2626	1971	2505	1691	3011	2184	2471	1993
TMUB1	1858	1917	1162	1085	1171	1154	1575	868	1750	1142	1379	973
FMC1	17	17	4	5	6	3	11	8	7	13	11	10
GBX1	8	3	3	0	8	0	1	0	3	4	3	1
PHAX	727	665	496	413	468	383	522	308	685	473	468	492
ALDH7A1	2123	2226	1034	1299	1106	888	1402	787	1568	1480	1216	1061
FOXK1	3582	3668	2444	2041	2101	1971	2572	1553	3018	1941	2066	1368
COX6C	884	927	505	473	711	627	907	500	929	758	771	772
OSR2	124	194	118	98	124	63	122	65	151	99	76	73
YWHAZ	13886	14607	9630	9077	9142	8509	10421	6477	13891	9240	10412	9067
BAALC	82	75	37	5	273	78	204	93	80	122	42	69
FZD6	2064	1820	1151	1175	1347	1184	1611	1036	1900	1475	1522	1184
CTHRC1	1042	1286	600	655	785	528	1079	576	1132	576	663	688
SLC25A32	672	725	481	490	575	455	639	475	803	604	688	613
DCAF13	2220	2334	1526	1558	1574	1334	1926	1159	2440	2068	1841	1836
DCSTAMP	0	1	1	0	1	2	0	0	1	1	1	0
